Date & Time,Inside Temp - °F,High Inside Temp - °F,Low Inside Temp - °F,Inside Hum - %,High Inside Hum - %,Low Inside Hum - %,Inside Dew Point - °F,Inside Heat Index - °F,Barometer - in Hg,High Bar - in Hg,Low Bar - in Hg,Absolute Pressure - in Hg,Temp - °F,High Temp - °F,Low Temp - °F,Hum - %,High Hum - %,Low Hum - %,Dew Point - °F,High Dew Point - °F,Low Dew Point - °F,Wet Bulb - °F,High Wet Bulb - °F,Low Wet Bulb - °F,Avg Wind Speed - mph,Prevailing Wind Direction,High Wind Speed - mph,High Wind Direction,Wind Chill - °F,Low Wind Chill - °F,Heat Index - °F,High Heat Index - °F,THW Index - °F,High THW Index - °F,Low THW Index - °F,Wind Run - mi,THSW Index - °F,High THSW Index - °F,Low THSW Index - °F,Rain - in,High Rain Rate - in/h,Solar Rad - W/m^2,High Solar Rad - W/m^2,ET - in,UV Index,High UV Index,UV Dose - MEDs,Heating Degree Days,Cooling Degree Days
3/22/24 12:00 AM,65.7,65.9,65.6,14.3,14.4,14.2,15.7,60.7,30.156,30.156,30.156,30.013,31.5,31.6,31.5,46.3,46.4,46,13.2,13.3,13.1,24,24.1,24,4.6,W,13,NNW,25.7,25.5,30.5,30.6,24.7,24.8,24.5,0.38,22.7,22.8,22.5,0,0,0,0,0.001,0,0,0,0.116,0
3/22/24 12:05 AM,65.7,65.9,65.5,14.4,14.4,14.1,15.9,60.7,30.155,30.158,30.153,30.012,31.5,31.6,31.4,46.6,46.6,46.2,13.4,13.4,13.2,24.1,24.1,24,3.9,NNW,13,NNW,26.5,25.6,30.5,30.6,25.5,25.5,24.6,0.32,23.5,23.5,22.6,0,0,0,0,--,0,0,0,0.116,0
3/22/24 12:10 AM,65.6,66,65.6,14.3,14.3,14.2,15.6,60.6,30.157,30.16,30.156,30.014,31.3,31.5,31.3,46.7,46.7,46.2,13.2,13.4,13.1,23.9,24.1,23.9,8,NNW,16,NNW,25.8,25.8,30.3,30.5,24.8,26.2,24.8,0.67,22.8,24.2,22.8,0,0,0,0,--,0,0,0,0.117,0
3/22/24 12:15 AM,65.6,65.9,65.5,14.2,14.3,14.1,15.5,60.6,30.161,30.161,30.155,30.018,31.2,31.3,31.2,46.8,46.8,46.5,13.2,13.3,13.1,23.9,24,23.8,6.4,NNW,14,N,24.7,24.7,30.2,30.3,23.7,24.5,23.7,0.53,21.7,22.5,21.7,0,0,0,0,--,0,0,0,0.117,0
3/22/24 12:20 AM,65.6,65.8,65.5,14.2,14.3,14.1,15.5,60.6,30.158,30.161,30.158,30.015,31.2,31.2,31.2,47.1,47.1,46.6,13.3,13.3,13.1,23.9,23.9,23.8,5.6,NW,14,NW,24.8,24.4,30.2,30.2,23.8,23.8,23.4,0.46,21.8,21.8,21.4,0,0,0,0,--,0,0,0,0.117,0
3/22/24 12:25 AM,65.7,65.7,65.5,14.3,14.3,14.1,15.7,60.7,30.157,30.161,30.157,30.014,31,31.2,31,47.1,47.1,46.9,13.1,13.3,13.1,23.7,23.9,23.7,8.2,NNW,17,NNW,24.9,24.9,30,30.2,23.9,24.3,23.9,0.69,21.9,22.3,21.9,0,0,0,0,--,0,0,0,0.118,0
3/22/24 12:30 AM,65.7,65.7,65.5,14.4,14.4,14.2,15.9,60.7,30.161,30.161,30.156,30.018,31,31.1,30.9,47.2,47.2,46.8,13.2,13.2,12.9,23.8,23.8,23.6,9.1,NNW,17,N,23.5,23.4,30,30.1,22.5,23.6,22.4,0.76,20.6,21.6,20.5,0,0,0,0,--,0,0,0,0.118,0
3/22/24 12:35 AM,65.7,65.7,65.5,14.4,14.4,14.2,15.9,60.7,30.161,30.163,30.159,30.018,31,31,30.9,47.6,47.6,47.2,13.4,13.4,13.1,23.9,23.9,23.7,8.6,NNW,15,NNW,23.1,22.8,30,30,22.1,22.4,21.8,0.72,20.3,20.5,20,0,0,0,0,--,0,0,0,0.118,0
3/22/24 12:40 AM,65.4,65.7,65.4,14.2,14.3,14.1,15.3,60.4,30.161,30.163,30.159,30.018,30.8,31,30.8,47.4,47.5,47.2,13.1,13.4,13,23.7,23.9,23.6,8.6,NNW,15,NNW,23.1,22.8,29.8,30,22.1,22.4,21.8,0.71,20.3,20.5,20,0,0,0,0,--,0,0,0,0.119,0
3/22/24 12:45 AM,65.8,65.8,65.5,14.2,14.3,14.2,15.6,60.8,30.163,30.163,30.16,30.02,30.7,30.9,30.7,47.8,47.8,47.6,13.2,13.3,13.1,23.7,23.8,23.7,8.2,NNW,15,NNW,23,23,29.7,29.9,22,22.3,22,0.68,20.1,20.4,20.1,0,0,0,0,--,0,0,0,0.119,0
3/22/24 12:50 AM,65.4,65.6,65.4,14.3,14.3,14.2,15.5,60.4,30.166,30.169,30.164,30.023,30.7,30.8,30.7,47.7,47.8,47.4,13.2,13.3,13,23.7,23.7,23.6,8.9,NW,19,NNW,23,22.8,29.7,29.8,22,22.2,21.8,0.74,20.2,20.3,20,0,0,0,0,--,0,0,0,0.119,0
3/22/24 12:55 AM,65.6,65.6,65.4,14.4,14.4,14.2,15.8,60.6,30.166,30.167,30.163,30.023,30.6,30.7,30.6,47.8,47.8,47.3,13.1,13.1,12.9,23.6,23.6,23.5,9.8,NNW,17,N,22.5,22.3,29.6,29.7,21.5,21.9,21.3,0.82,19.7,20.1,19.5,0,0,0,0,--,0,0,0,0.119,0
3/22/24 1:00 AM,65.5,65.5,65.3,14.2,14.4,14.2,15.4,60.5,30.165,30.167,30.164,30.022,30.5,30.6,30.5,48.2,48.4,47.7,13.2,13.4,13,23.6,23.7,23.5,7.5,NNW,14,NW,22.5,22.2,29.5,29.6,21.5,21.8,21.2,0.62,19.7,20,19.4,0,0,0,0,0.001,0,0,0,0.12,0
3/22/24 1:05 AM,65.4,65.5,65.2,14.2,14.4,14.2,15.3,60.4,30.165,30.168,30.164,30.022,30.5,30.6,30.5,48.2,48.4,48,13.2,13.4,13.1,23.6,23.7,23.5,8.5,NNW,15,N,23,22.5,29.5,29.6,22,22,21.5,0.71,20.1,20.1,19.7,0,0,0,0,--,0,0,0,0.12,0
3/22/24 1:10 AM,65.5,65.5,65.3,14.3,14.4,14.2,15.6,60.5,30.166,30.171,30.164,30.023,30.4,30.5,30.3,48.5,48.5,47.9,13.3,13.3,12.9,23.6,23.6,23.4,10,NW,20,WNW,22.2,22,29.4,29.5,21.2,21.9,21,0.83,19.4,20,19.2,0,0,0,0,--,0,0,0,0.12,0
3/22/24 1:15 AM,65.4,65.5,65.3,14.2,14.4,14.2,15.3,60.4,30.169,30.171,30.165,30.026,30.3,30.4,30.3,47.9,48.8,47.9,12.9,13.4,12.9,23.4,23.6,23.4,8.2,NNW,17,NNW,22.4,22,29.3,29.4,21.4,21.5,21,0.69,19.6,19.7,19.2,0,0,0,0,--,0,0,0,0.12,0
3/22/24 1:20 AM,65.6,65.6,65.3,14.4,14.4,14.2,15.8,60.6,30.166,30.171,30.164,30.023,30.3,30.4,30.3,48.4,48.8,48,13.1,13.3,12.9,23.4,23.6,23.4,7.9,NW,17,NNW,22.7,22.1,29.3,29.4,21.7,21.7,21.1,0.66,19.8,19.8,19.3,0,0,0,0,--,0,0,0,0.12,0
3/22/24 1:25 AM,65.3,65.5,65.3,14.3,14.4,14.2,15.4,60.3,30.171,30.173,30.166,30.028,30.2,30.3,30.2,48.8,48.8,48.1,13.2,13.3,12.9,23.4,23.5,23.3,6.9,NW,17,NW,22.7,22.5,29.2,29.3,21.7,21.9,21.5,0.58,19.8,20,19.6,0,0,0,0,--,0,0,0,0.121,0
3/22/24 1:30 AM,65.3,65.5,65.2,14.2,14.4,14.2,15.2,60.3,30.168,30.171,30.167,30.025,30.2,30.3,30.2,48.6,48.8,48.5,13.1,13.3,13.1,23.4,23.5,23.4,6.9,NW,15,NNW,23.2,22.7,29.2,29.3,22.2,22.2,21.7,0.58,20.2,20.2,19.8,0,0,0,0,--,0,0,0,0.121,0
3/22/24 1:35 AM,65.3,65.5,65.2,14.2,14.4,14.2,15.2,60.3,30.167,30.169,30.164,30.024,30.1,30.2,30.1,49,49,48.6,13.2,13.3,13.1,23.4,23.5,23.4,5.8,NW,13,WNW,23.8,23.2,29.1,29.2,22.8,22.9,22.2,0.48,20.8,20.9,20.2,0,0,0,0,--,0,0,0,0.121,0
3/22/24 1:40 AM,65.3,65.5,65.2,14.4,14.4,14.2,15.6,60.3,30.168,30.172,30.165,30.025,30.1,30.2,30.1,48.9,49.1,48.8,13.2,13.4,13.1,23.4,23.5,23.3,6.4,NW,13,NW,24.1,23.8,29.1,29.2,23.1,23.3,22.8,0.54,21.1,21.3,20.8,0,0,0,0,--,0,0,0,0.121,0
